================================================================================
UPLOADING WITH ULTRA-SAFE SETTINGS
Starting from embedding 14600
Batch size: 100 | Timeout: 300s | Pause: 10s
================================================================================

Loaded 19731 embeddings to upload
Uploading in 198 batches of 100...
Estimated time: 49.5 minutes

[162/198] Uploading embeddings 30700-30800... ✓ Success
[163/198] Uploading embeddings 30800-30900... ✓ Success
[164/198] Uploading embeddings 30900-31000... ✓ Success
[165/198] Uploading embeddings 31000-31100... ✓ Success
[166/198] Uploading embeddings 31100-31200... ✓ Success
[167/198] Uploading embeddings 31200-31300... ✓ Success
[168/198] Uploading embeddings 31300-31400... ✓ Success
[169/198] Uploading embeddings 31400-31500... ✓ Success
[170/198] Uploading embeddings 31500-31600... ✓ Success
[171/198] Uploading embeddings 31600-31700... ✓ Success
[172/198] Uploading embeddings 31700-31800... ✓ Success
[173/198] Uploading embeddings 31800-31900... ✓ Success
[174/198] Uploading embeddings 31900-32000... ✓ Success
[175/198] Uploading embeddings 32000-32100... ✓ Success
[176/198] Uploading embeddings 32100-32200... ✓ Success
[177/198] Uploading embeddings 32200-32300... ✓ Success
[178/198] Uploading embeddings 32300-32400... ✓ Success
[179/198] Uploading embeddings 32400-32500... ✓ Success
[180/198] Uploading embeddings 32500-32600... ✓ Success
[181/198] Uploading embeddings 32600-32700... ✓ Success
[182/198] Uploading embeddings 32700-32800... ✓ Success
[183/198] Uploading embeddings 32800-32900... ✓ Success
[184/198] Uploading embeddings 32900-33000... ✓ Success
[185/198] Uploading embeddings 33000-33100... ✓ Success
[186/198] Uploading embeddings 33100-33200... ✓ Success
[187/198] Uploading embeddings 33200-33300... ✓ Success
[188/198] Uploading embeddings 33300-33400... ✓ Success
[189/198] Uploading embeddings 33400-33500... ✓ Success
[190/198] Uploading embeddings 33500-33600... ✓ Success
[191/198] Uploading embeddings 33600-33700... ✓ Success
[192/198] Uploading embeddings 33700-33800... ✓ Success
[193/198] Uploading embeddings 33800-33900... ✓ Success
[194/198] Uploading embeddings 33900-34000... ✓ Success
[195/198] Uploading embeddings 34000-34100... ✓ Success
[196/198] Uploading embeddings 34100-34200... ✓ Success
[197/198] Uploading embeddings 34200-34300... ✓ Success
[198/198] Uploading embeddings 34300-34331... ✓ Success

================================================================================
UPLOAD COMPLETE!
================================================================================
✓ 198 batches uploaded
✓ Embeddings 14600-34331 in Vectorize
================================================================================
